product_type,sales_office,sales_volume,gross_sales,raw_materials,packaging,other_direct_cost,variable_manufacturing,fixed_manufacturing,warehouse,trans_primary,trans_delivery,month
CAN HF,North,833,5641,55351495,1720,50918,286,642,66,3,189,6
CAN HF,North,7216,48851,360922925,10897,-41960,2026,4840,471,-1,1634,6
CAN HF,North,259,2051,12776033,386,-3,71,166,16,0,59,6
CAN HF,North,23,163,1150636,35,0,6,15,1,0,5,6
CAN HF,South,42,273,3311121,0,-239,3,23,1,0,4,6
CAN HF,South,125,795,4490565,209,-608,17,59,18,5,13,6
CAN HF,South,748,5273,26799465,1246,-4300,100,354,108,32,75,6
CAN HF,South,141,921,5066277,236,-814,19,67,20,6,14,6
CAN HF,South,54,352,4266149,0,-305,4,29,2,0,5,6
PET HF,South,723,4500,33626365,893,24547,353,393,57,59,73,6
PET HF,South,2588,18301,120248673,3185,-14872,1266,1398,199,198,261,6
PET HF,South,97,624,4520880,120,-559,47,53,8,8,10,6
PMX,South,54,1140,19073066,70,-310,18,42,7,6,5,6
PMX,South,1273,8717,61134510,1754,-7256,894,678,91,98,128,6
PET HF,South,2633,12052,76591894,2928,3951,1072,1177,201,105,266,6
PET HF,South,9077,48217,264087065,10093,-14661,3699,4063,711,379,916,6
PET HF,South,417,2003,12134713,464,-672,170,187,33,17,42,6
PET HF,South,338,2100,13945240,410,-902,159,190,34,15,34,6
PET HF,South,1498,10829,61863541,1821,-136,701,837,148,65,151,6
PET HF,South,18,119,763668,22,-3,9,10,2,1,2,6
PET HF,South,3,23,132811,4,0,2,2,0,0,0,6
CAN HF,South,752,4768,26410769,1254,149,102,356,65,9,138,6
CAN HF,South,223,1569,7824857,373,-15,31,108,20,3,41,6
CAN HF,South,18,108,620766,29,-1,2,8,2,0,3,6
PET HF,South,675,4200,31114606,827,160,328,344,28,45,124,6
PET HF,South,268,1909,12324636,329,-20,129,136,11,19,49,6
PET HF,South,293,1882,15372098,409,-20,162,170,14,22,54,6
PMX,South,20,406,6803945,30,-1,14,12,1,0,4,6
PET HF,South,260,1192,7572106,288,-256,107,117,11,15,48,6
PET HF,South,5788,30212,168311408,6407,-411,2388,2591,247,343,1066,6
PET HF,South,76,357,2196847,84,-6,31,34,3,4,14,6
PET HF,South,362,2250,15288164,470,-7,199,258,51,25,67,6
PET HF,South,158,1141,6619258,205,-13,86,114,23,11,29,6
PET HF,South,18,115,781395,24,0,10,13,3,1,3,6
CAN HF,South,71,498,2483600,118,-38,10,33,6,12,11,6
CAN HF,South,53,320,1840464,88,-28,7,26,5,10,8,6
PET HF,South,24,150,1112831,29,-139,11,12,1,0,0,6
PET HF,South,121,750,5677405,148,-62,63,65,2,0,19,6
PET HF,South,123,845,5782080,147,-66,68,67,4,1,19,6
PET HF,South,23,150,1074823,27,-13,13,12,1,0,4,6
PMX,South,9,186,3195515,11,-5,2,7,1,0,1,6
PET HF,South,87,397,2522703,97,-141,35,38,3,1,0,6
PET HF,South,434,1987,12759615,486,-169,181,197,19,91,68,6
PET HF,South,5239,27527,152572903,5810,-2817,2159,2352,222,1095,817,6
PET HF,South,76,360,2082537,81,-41,28,31,3,18,12,6
PET HF,South,48,300,1975581,57,6,21,23,2,12,8,6
PET HF,South,69,501,2831666,82,5,30,33,3,17,11,6
PET HF,South,22,139,784670,27,1,7,8,2,13,3,6
CAN HF,Central,474,3005,17182824,795,-12,64,216,36,47,71,6
CAN HF,Central,220,1552,7958903,368,-8,30,101,18,24,33,6
CAN HF,Central,224,1364,8125437,376,-8,30,102,17,22,34,6
PET HF,Central,410,2550,19080728,487,591,176,321,26,0,61,6
PET HF,Central,474,3434,22139916,565,-16,196,374,31,0,71,6
PET HF,Central,14,93,673438,17,-1,6,11,1,0,2,6
PMX,Central,10,196,3265893,14,-1,7,6,1,4,1,6
PET HF,Central,182,1330,7579902,228,-6,78,101,14,49,27,6
PET HF,Central,1,5,33210,1,0,0,0,0,0,0,6
PET HF,Central,2,17,99631,3,0,1,1,0,1,0,6
CAN HF,North,1279,9012,42633286,1990,-18,160,550,94,171,290,6
CAN HF,North,100,657,3600785,168,-1,14,46,8,14,23,6
PET HF,North,3132,19488,144297456,3697,-38,1248,1564,182,13,709,6
PET HF,North,2497,18139,104079019,2667,-30,900,1128,131,9,565,6
PET HF,North,139,897,6607586,169,-1,57,72,8,1,31,6
PMX,North,34,693,11201463,43,-1,14,23,2,12,8,6
PMX,North,829,5679,40870552,1092,-11,529,450,53,317,188,6
PMX,North,2,17,118810,3,0,2,1,0,1,1,6
PET HF,North,38,216,1111254,40,-1,18,20,2,4,9,6
PET HF,North,338,2100,13887313,412,-4,152,178,22,87,76,6
PET HF,North,621,4456,25559273,759,-8,280,328,41,160,141,6
PET HF,North,96,620,3934740,117,-1,43,50,6,25,22,6
CAN HF,North,207,1314,12958958,601,-3,44,148,25,31,47,6
CAN HF,North,158,1110,3739777,175,-2,14,48,8,15,36,6
CAN HF,North,111,725,3975266,186,-1,15,51,9,16,25,6
PET HF,North,1446,8999,84505548,2165,1401,1121,954,106,8,328,6
PET HF,North,415,2970,19718769,505,-5,170,213,25,2,94,6
PET HF,North,127,815,6034676,155,-1,52,65,8,1,29,6
PMX,North,18,376,6440841,25,0,8,13,1,7,4,6
PET HF,North,241,1500,9978016,296,26,111,128,16,62,55,6
PET HF,North,138,992,5621057,167,-2,62,72,9,35,31,6
PET HF,North,13,82,529039,16,0,6,7,1,3,3,6
PMX,South,-10,-255,-1937232,-14,-1,-2,-8,0,0,-1,6
PMX,South,-7,-148,-1185199,-9,-12,-1,-5,3,0,-1,6
PMX,South,-5,-825,-907267,-7,0,-1,-3,0,0,-1,6
PMX,Central,-1,-20,-149018,-1,89,0,-1,0,0,0,6
PET HF,South,409,2241,17720779,569,32703,152,261,23,22,41,6
PET HF,South,83,706,3589438,115,-8,27,53,5,5,8,6
PET HF,South,153,878,6647752,214,-14,60,98,9,8,15,6
PET HF,South,1293,7083,58441525,1828,27233,474,899,101,117,130,6
PET HF,South,252,2146,11388767,356,-22,88,176,20,24,25,6
PET HF,South,161,925,7259999,227,-14,60,112,12,14,16,6
PET HF,South,3108,17023,137308888,4432,444,1085,2081,248,352,572,6
PET HF,South,121,1028,5345682,172,-7,37,82,10,15,22,6
PET HF,South,38,214,1668869,54,-6,13,25,3,4,7,6
PET HF,South,5047,27650,226573158,7138,349,1845,3107,363,664,929,6
PET HF,South,254,2167,11390223,357,-20,80,156,19,37,47,6
PET HF,South,75,425,3358992,106,-6,26,46,5,10,14,6
PET HF,South,510,2795,22188879,716,-7593,193,333,37,83,80,6
PET HF,South,34,288,1468816,47,-502,13,22,2,6,5,6
PET HF,South,58,333,2549792,82,-862,15,39,5,12,9,6
PET HF,South,3557,19484,163791997,5008,-302,1321,2131,265,887,555,6
PET HF,South,109,933,5100901,155,-10,35,66,8,28,17,6
PET HF,South,94,538,4478699,134,-9,22,57,8,25,15,6
PET HF,Central,4120,22570,184696383,5878,87,1272,2320,348,113,617,6
PET HF,Central,64,549,2873406,92,-1,21,36,5,2,10,6
PET HF,Central,72,409,3208136,102,-2,19,39,5,0,11,6
PET HF,Central,4466,24463,201930976,6348,97,1443,2530,374,135,669,6
PET HF,Central,56,480,2542598,80,-2,18,32,5,2,8,6
PET HF,Central,41,234,1863431,58,-1,10,23,3,0,6,6
PET HF,North,768,4209,33720104,1100,-9,288,632,66,113,174,6
PET HF,North,170,1454,7404640,241,-2,64,138,14,24,39,6
PET HF,North,193,1098,8462448,276,-1,74,158,17,28,44,6
PET HF,North,1410,7726,63501737,2002,-17,473,824,99,197,319,6
PET HF,North,172,1467,7704019,243,-2,58,100,12,24,39,6
PET HF,North,161,922,7233831,228,-1,55,94,11,22,36,6
PET HF,North,5959,32647,261828036,8541,-494,2410,4832,503,820,1349,6
PET HF,North,198,1687,8604998,281,-3,74,161,17,29,45,6
PET HF,North,275,1561,12058991,393,-3,105,225,24,40,62,6
PET HF,North,4025,22051,181298006,5722,251,1401,2356,282,548,911,6
PET HF,North,168,1433,7602218,239,-2,51,98,12,25,38,6
PET HF,North,526,2987,23705190,747,-6,177,307,37,73,119,6
PET HF,South,1085,5943,30158122,1290,16298,508,556,106,57,109,6
PET HF,South,2918,19955,81338347,3452,-18360,1390,1523,280,152,294,6
PET HF,South,65,378,1683302,78,-409,22,31,9,6,7,6
PET HF,South,4122,22583,114474322,5076,-94,1386,2551,486,707,416,6
PET HF,South,3816,26104,105970026,4699,-329,1283,2361,450,656,385,6
PET HF,South,229,1318,6357929,282,-19,77,142,27,40,23,6
PET HF,South,37,253,1026570,46,-3,12,23,4,6,4,6
PET HF,South,1953,10697,52462382,2244,182,1037,1084,125,130,360,6
PET HF,South,742,5066,19480699,838,-49,386,406,48,52,137,6
PET HF,South,137,780,3680725,157,-13,73,76,9,9,25,6
PET HF,South,6967,38167,192359346,8565,-19,2303,4372,669,2017,1283,6
PET HF,South,1266,8646,34524042,1536,-89,414,781,120,357,233,6
PET HF,South,186,1053,5155572,229,-14,62,115,18,51,34,6
PET HF,South,2297,12582,64042869,2715,199,1067,1167,95,639,358,6
PET HF,South,650,4438,17906857,767,47,291,326,26,207,101,6
PET HF,South,43,246,1043885,46,3,15,19,2,18,7,6
PET HF,South,916,5019,25307842,1112,-81,320,553,75,242,0,6
PET HF,South,12076,66153,335608484,14869,1029,4023,7504,1149,31,1883,6
PET HF,South,1077,7349,29784381,1330,78,353,688,105,2,168,6
PET HF,South,41,233,1076172,51,3,12,31,5,0,6,6
PET HF,Central,1479,8105,38037014,1693,42,575,1107,112,258,222,6
PET HF,Central,532,3641,13861065,617,-18,207,404,35,69,80,6
PET HF,Central,265,1507,6899960,306,-9,112,199,16,26,40,6
PET HF,Central,1,5,20909,1,0,0,1,0,0,0,6
PET HF,Central,4003,21928,109223378,4862,80,962,2570,316,1129,599,6
PET HF,Central,750,5130,20748516,916,-26,303,483,58,207,112,6
PET HF,Central,303,1721,8338357,367,-10,130,195,21,78,45,6
PET HF,Central,2,16,66353,3,0,1,2,0,1,0,6
PET HF,North,1483,8127,24513419,1273,-136,-1332,1058,66,106,336,6
PET HF,North,2732,18697,69377990,3068,-250,1161,1967,150,108,619,6
PET HF,North,55,315,1446687,64,-5,24,41,3,2,13,6
PET HF,North,4,27,104832,5,0,2,3,0,0,1,6
PET HF,North,4291,23508,115322004,5414,-850,-1640,2542,338,178,972,6
PET HF,North,3366,23035,90470346,4035,-667,1399,1972,227,86,762,6
PET HF,North,108,610,3004466,134,-20,46,65,8,3,24,6
PET HF,North,10,66,269058,12,-2,4,6,1,0,2,6
PET HF,North,3086,16905,86973769,3824,-3119,1550,2391,205,132,699,6
PET HF,North,342,2343,8931707,395,-32,150,253,19,14,78,6
PET HF,North,51,263,1341852,59,-5,22,38,3,2,12,6
PET HF,North,7907,43318,222298942,9999,-7272,2367,4855,573,232,1791,6
PET HF,North,939,6425,26210612,1169,-186,405,571,66,25,213,6
PET HF,North,45,255,1276010,57,-9,16,28,3,1,10,6
PET HF,South,43837,200691,1163496117,48141,-1595,14781,25326,4456,8266,4422,6
PET HF,South,25119,146513,665049818,27597,-2217,8089,14605,2680,5052,2534,6
PET HF,South,2482,11944,65994733,2732,-219,832,1437,256,470,250,6
PET HF,South,225276,1401558,8016364656,268359,-11254,81817,121974,24803,38002,22725,6
PET HF,South,41340,301474,1472226905,49285,-3649,14933,22603,4699,7315,4170,6
PET HF,South,3395,21742,120914972,4048,-298,1226,1857,386,601,342,6
PET HF,South,752,3444,19572611,828,1611,309,493,71,156,76,6
PET HF,South,1361,7843,35423075,1499,-120,559,892,128,283,137,6
PET HF,South,599,2811,15599527,660,-52,246,393,56,124,60,6
PET HF,South,2194,13649,77824404,2600,-194,718,887,231,140,221,6
PET HF,South,6343,46746,225022211,7532,-558,2053,2534,713,434,640,6
PET HF,South,123,789,4361283,146,-11,40,49,14,8,12,6
PET HF,South,5646,35127,225506494,6561,-497,1798,2428,634,520,570,6
PET HF,South,8027,59058,320512222,9331,-707,2546,3445,919,744,810,6
PET HF,South,620,3958,24729046,721,-55,195,265,73,58,62,6
PET HF,South,10,78,416962,12,0,3,4,1,1,1,6
PET HF,South,1430,8899,44464625,1689,70,476,901,250,319,144,6
PET HF,South,4705,34660,148680691,5555,-416,1646,2731,671,785,475,6
PET HF,South,8,51,253592,9,0,3,5,1,1,1,6
PET HF,South,8,60,253595,9,0,3,5,1,1,1,6
PET HF,South,91998,421247,2541632592,104808,-2474,27714,35273,5971,1610,16939,6
PET HF,South,13926,81445,376200740,15563,-987,4107,5195,894,248,2564,6
PET HF,South,1374,6443,37457060,1543,-97,408,521,88,23,253,6
PET HF,South,212496,1322084,7612760992,245392,-6282,64166,82746,15543,3844,39125,6
PET HF,South,12035,88662,428238600,13805,-851,3610,4653,876,217,2216,6
PET HF,South,4278,27412,159648157,5148,-302,1346,1733,328,82,788,6
PET HF,South,463,2119,12218846,518,16,192,288,29,99,85,6
PET HF,South,284,1651,7629928,324,-20,95,181,19,67,52,6
PET HF,South,83,389,2184966,93,-1,34,52,5,18,15,6
PET HF,South,1880,11699,68987011,2283,-127,609,773,123,30,346,6
PET HF,South,1426,10572,50991395,1687,-102,450,570,92,23,262,6
PET HF,South,48,309,1724675,57,-1,15,19,3,1,9,6
PET HF,South,13404,83393,547320006,15898,-2222,4268,5795,905,127,2468,6
PET HF,South,1844,13632,73293958,2130,-321,572,776,122,17,340,6
PET HF,South,164,1050,6554221,190,-30,51,69,11,2,30,6
PET HF,South,1181,7349,36988660,1390,48,407,703,111,355,218,6
PET HF,South,1663,12319,52383553,1958,-117,582,959,152,443,306,6
PET HF,South,21,134,661243,25,0,7,12,2,5,4,6
PET HF,South,11977,54831,296102847,11873,-1073,5026,6244,467,1875,0,6
PET HF,South,100661,460859,2690650643,112571,8739,32717,59267,9904,4426,15694,6
PET HF,South,18088,105799,481637834,20241,1308,5823,10835,1813,834,2820,6
PET HF,South,959,4559,25108134,1065,70,300,588,99,48,150,6
PET HF,South,15550,96742,544599263,18222,-1393,6253,6810,631,127,0,6
PET HF,South,78790,490202,2738942488,93494,6867,26952,46672,7015,2606,12284,6
PET HF,South,10376,76040,359714419,12291,751,3536,6159,925,346,1618,6
PET HF,South,814,5181,27117419,927,59,266,466,70,26,127,6
PET HF,South,145,662,3748051,159,11,59,96,8,63,23,6
PET HF,South,513,2973,13296256,563,38,206,341,29,225,80,6
PET HF,South,16,75,469315,20,1,-10,13,1,15,3,6
PET HF,South,458,2850,16183919,538,-42,141,194,25,4,0,6
PET HF,South,1744,10850,62581332,2072,127,553,703,111,508,272,6
PET HF,South,1340,9923,47738760,1580,97,422,535,85,402,209,6
PET HF,South,14,88,488472,16,1,4,5,1,4,2,6
PET HF,South,1061,6599,42977595,1218,-94,381,485,26,50,0,6
PET HF,South,10202,63470,406558555,11921,739,3394,4871,778,1661,1591,6
PET HF,South,1098,8051,43534066,1277,80,362,523,83,182,171,6
PET HF,South,42,268,1627735,48,3,12,21,3,11,7,6
PET HF,South,96,600,3125737,112,-8,40,55,2,12,0,6
PET HF,South,1631,10149,51185909,1932,151,549,987,157,3,254,6
PET HF,South,1176,8711,37021627,1390,85,401,692,110,3,183,6
PET HF,South,6,36,156584,6,0,1,5,1,0,1,6
PET HF,Central,8795,39574,241677518,10175,148,1941,3998,1138,406,1317,6
PET HF,Central,573,3317,15754431,664,-20,123,260,74,26,86,6
PET HF,Central,771,3271,21194174,895,-26,160,337,84,2,116,6
PET HF,Central,2300,14309,82452731,2771,65,758,1313,211,121,344,6
PET HF,Central,1135,8344,40643336,1365,-39,389,647,96,45,170,6
PET HF,Central,65,407,2329915,78,-2,23,37,5,1,10,6
PET HF,Central,162,954,4323572,183,-6,61,99,14,33,24,6
PET HF,Central,70,516,2467293,84,-3,24,28,6,17,10,6
PET HF,Central,1,6,28640,1,0,0,0,0,0,0,6
PET HF,Central,11192,50360,322674892,13475,138,597,2646,2076,396,1676,6
PET HF,Central,82,385,2372915,99,-3,15,25,13,0,12,6
PET HF,Central,1518,9266,54420217,1634,-28,-283,753,113,473,227,6
PET HF,Central,545,3999,21104805,616,-19,219,309,34,65,82,6
PET HF,Central,125,801,4828537,142,-4,50,70,8,17,19,6
PET HF,Central,1,6,31153,1,0,0,0,0,0,0,6
PET HF,Central,555,3455,17249548,654,19,186,350,56,282,83,6
PET HF,Central,384,2830,12083465,452,-13,133,224,37,148,58,6
PET HF,Central,10,67,329500,12,-1,4,6,1,4,2,6
PET HF,North,16606,74721,435299991,18339,531,3526,7849,1593,30,3760,6
PET HF,North,2784,16107,73706775,3105,89,597,1329,270,5,631,6
PET HF,North,958,4482,25885773,1091,38,210,467,95,2,217,6
PET HF,North,2506,15594,84612982,2944,80,1065,1469,160,29,568,6
PET HF,North,4837,35763,156529777,5446,155,1970,2718,296,54,1095,6
PET HF,North,305,1946,10749429,374,12,135,187,20,4,69,6
PET HF,North,2,11,0,0,0,0,0,0,0,0,6
PET HF,North,3934,17704,104737657,4443,-48,1641,2384,261,17,891,6
PET HF,North,1749,10184,45694370,1939,-21,716,1040,114,7,396,6
PET HF,North,405,1919,10781820,457,-2,169,245,27,2,92,6
PET HF,North,5497,24734,156229564,6060,-66,-657,3014,381,167,1245,6
PET HF,North,41,192,1268171,48,0,14,25,3,1,9,6
PET HF,North,964,5886,35269429,1081,-12,368,526,54,26,218,6
PET HF,North,3752,27323,132198483,4053,-45,1379,1972,202,98,850,6
PET HF,North,235,1499,8755479,268,-1,91,131,13,7,53,6
PET HF,North,96,600,3019233,111,-1,35,53,8,35,22,6
PET HF,North,1954,14337,59176900,2177,-24,693,1027,155,681,442,6
PET HF,North,1,5,25182,1,0,0,0,0,0,0,6
PET HF,North,8,59,251817,9,0,3,4,1,3,2,6
PET HF,North,11542,51937,337423645,14175,-15598,3789,6172,1198,26,2614,6
PET HF,North,652,3750,17727476,747,21,127,318,65,1,148,6
PET HF,North,1293,5879,28588836,1205,41,227,515,105,2,293,6
PET HF,North,6491,40382,244071234,8458,23169,3555,4224,458,81,1470,6
PET HF,North,1903,14167,66732574,2323,61,822,1159,126,23,431,6
PET HF,North,140,868,4909187,171,4,62,85,9,2,32,6
PET HF,North,4791,21559,131693725,5583,126,2235,2997,326,21,1085,6
PET HF,North,444,2547,11785710,500,-5,178,268,29,2,101,6
PET HF,North,595,2455,11565694,491,-7,179,263,29,2,135,6
PET HF,North,18003,81010,560303937,21410,-138,7036,10926,1273,448,4077,6
PET HF,North,2158,13170,93757197,2867,-2160,1337,1406,142,62,489,6
PET HF,North,327,2398,12913716,397,-4,96,192,20,10,74,6
PET HF,North,19,122,742515,23,0,8,11,1,1,4,6
PET HF,North,592,4366,18425120,678,-7,216,321,48,215,134,6
PET HF,North,13,83,402907,15,0,5,7,1,5,3,6
CAN HF,South,577,4290,30802253,965,3022,601,0,25,76,58,6
CAN HF,South,465,3730,24749943,766,-4436,486,0,12,36,47,6
CAN HF,South,80,611,4174247,130,-760,82,0,1,5,8,6
CAN HF,South,794,5903,43525709,1324,18581,834,0,45,82,80,6
CAN HF,South,628,5038,34566634,1036,-13612,660,0,23,45,63,6
CAN HF,South,149,1138,8049369,242,-3221,154,0,3,9,15,6
CAN HF,South,2,19,133026,4,-52,3,0,0,0,0,6
CAN HF,South,281,2091,15009457,468,304,293,0,0,33,52,6
CAN HF,South,49,393,2612705,81,-1,51,0,0,5,9,6
CAN HF,South,14,110,770355,24,-5,15,0,0,1,3,6
CAN HF,South,305,2270,15833948,494,223,307,0,0,45,56,6
CAN HF,South,69,554,3650503,112,-7,70,0,0,7,13,6
CAN HF,South,55,417,2916355,88,-1,56,0,0,5,10,6
CAN HF,South,48,358,2463249,77,-461,49,0,0,2,0,6
CAN HF,South,1311,9744,67657557,2118,108,1338,0,0,274,204,6
CAN HF,South,45,361,2310099,73,3,46,0,0,11,7,6
CAN HF,South,5,37,228215,8,0,4,0,0,3,1,6
CAN HF,South,129,956,6743582,206,-2784,130,0,0,7,0,6
CAN HF,South,1303,9690,68548043,2095,110,1324,0,0,297,203,6
CAN HF,South,47,380,2465453,76,4,48,0,0,13,7,6
CAN HF,South,29,221,1502266,46,3,29,0,0,8,5,6
CAN HF,Central,117,866,6616723,207,0,129,0,1,27,17,6
CAN HF,Central,24,193,1335094,41,-1,26,0,0,3,4,6
CAN HF,Central,10,80,569899,18,-1,11,0,0,1,2,6
CAN HF,Central,2,19,131515,4,0,3,0,0,0,0,6
CAN HF,Central,383,2850,20702995,629,7,394,0,3,81,57,6
CAN HF,Central,47,374,2536162,76,-2,48,0,0,8,7,6
CAN HF,Central,84,644,4599625,138,-3,87,0,0,12,13,6
CAN HF,North,591,4391,31638786,974,-8,621,0,0,90,134,6
CAN HF,North,138,1108,5253704,162,-2,103,0,0,16,31,6
CAN HF,North,59,454,3185399,98,-1,62,0,0,9,13,6
CAN HF,North,1,6,43045,1,0,1,0,0,0,0,6
CAN HF,North,848,6303,46137923,1381,-12,879,0,1,133,192,6
CAN HF,North,211,1688,9219925,276,-3,176,0,0,27,48,6
CAN HF,North,63,478,3411143,102,-1,65,0,0,10,14,6
CAN HF,North,1,6,43733,1,0,1,0,0,0,0,6
CAN HF,North,32,258,1722256,53,-1,34,0,0,5,7,6
CAN HF,North,16,123,860920,27,0,17,0,0,2,4,6
CAN HF,North,35,283,1922051,58,-1,37,0,0,6,8,6
CAN HF,North,81,619,4416998,132,-1,84,0,0,13,18,6
PMX,South,2,7,110352,0,0,0,9,0,0,0,7
PMX,South,773,2117,35405971,33,-5,25,2968,63,105,79,7
PMX,South,39,94,1839639,2,8,1,142,1,7,7,7
PMX,South,5,13,229955,0,1,0,18,0,1,1,7
PMX,South,290,795,14711057,14,-11,10,1011,11,59,54,7
PMX,South,4,11,185105,0,0,0,16,0,3,1,7
PMX,South,227,623,10668415,10,2,8,902,8,175,39,7
PMX,Central,9,24,453069,0,0,0,8,1,1,1,7
PMX,Central,215,590,11039225,8,2,4,200,17,13,35,7
PMX,North,18,48,1144806,0,0,0,7,0,0,4,7
PMX,North,516,1413,33407529,8,8,13,205,-6,0,122,7
PMX,North,30,81,1925356,0,0,1,12,0,0,7,7
PMX,North,456,1250,29602979,7,7,12,180,-6,0,108,7
CAN CF,South,498,3412,33645722,0,-561,36,225,11,0,51,7
CAN CF,South,64319,440440,1717127260,99016,831,9019,27569,5567,2187,6543,7
CAN CF,South,2173,14880,59449061,3349,80,291,891,298,59,221,7
CAN CF,South,10187,81894,272307816,15706,131,1392,3459,939,392,1036,7
CAN CF,South,663,5351,18134924,1022,8,89,275,93,18,67,7
CAN CF,South,13583,78195,362795370,20918,176,1894,5607,1200,480,1382,7
CAN CF,South,1633,9584,44710703,2519,21,217,651,232,46,166,7
PET CF,South,64813,291642,2026891229,59182,155,8195,21190,8448,6322,6593,7
PET CF,South,15243,89279,476767415,13927,153,1931,4999,2009,1483,1551,7
PET CF,South,1143,5372,35732537,1044,12,145,376,151,111,116,7
PET CF,South,17820,110866,1084538343,19125,19,2151,5370,2089,1483,1813,7
PET CF,South,6688,56498,407079843,7179,66,807,2015,796,552,680,7
PET CF,South,3218,19949,195851174,3454,32,388,969,383,265,327,7
RGB CF,South,12054,26887,290319109,1282,66,5071,9954,1075,1172,1226,7
RGB CF,South,2419,4901,58254119,257,31,1015,1993,220,241,246,7
PMX,South,4,149,1626605,7,4,2,3,0,0,0,7
PMX,South,2912,79946,1178968131,5035,2623,1357,2043,349,337,296,7
CAN CF,South,3398,25818,104862470,5244,53,507,1431,359,111,346,7
CAN CF,South,530,2674,16209151,812,8,79,236,52,15,54,7
CAN CF,South,847,5800,23763557,1126,-13,101,302,62,5,86,7
CAN CF,South,2654,21422,85970095,4589,41,412,1231,258,21,270,7
CAN CF,South,94,646,-94446,232,1,21,62,13,1,10,7
CAN CF,South,145796,998402,3865892430,223219,-5169,15782,44209,10380,1047,27300,7
CAN CF,South,9400,64370,257625239,14782,-333,1052,2843,620,94,1760,7
CAN CF,South,1462,11741,39199098,2265,-51,158,429,102,8,274,7
CAN CF,South,2857,23036,79035250,4446,-102,306,820,191,15,535,7
CAN CF,South,378,2121,9297641,538,-14,37,98,23,1,71,7
CAN CF,South,2367,13203,65146250,3678,-84,253,672,157,12,443,7
PET CF,South,89651,403440,2817995072,80925,-5059,11067,28009,6695,2271,16787,7
PET CF,South,3693,21686,116140653,3330,-140,454,1147,274,105,691,7
PET CF,South,987,4683,31032344,890,-37,122,307,73,27,185,7
PET CF,South,35783,222635,2164415849,38083,-2017,4347,10845,2554,310,6700,7
PET CF,South,1970,16638,119329747,2097,-74,239,597,140,17,369,7
PET CF,South,340,2088,20604197,362,-13,41,103,24,3,64,7
RGB CF,South,66088,147504,1581619061,7175,-3666,14166,37663,4749,114,30577,7
RGB CF,South,643,1586,15678139,71,-24,139,372,47,1,297,7
PMX,South,70,2547,27983317,120,13,19,57,5,1,13,7
PMX,South,44,1636,17695274,76,27,12,36,3,1,8,7
PMX,South,1536,35636,615483620,2646,-58,417,1251,110,31,288,7
CAN CF,South,167,942,5105441,256,-20,25,74,8,7,31,7
CAN CF,South,1034,7857,31615232,1587,14,154,458,50,43,194,7
CAN CF,South,45,249,1409985,70,-2,7,17,2,2,8,7
CAN CF,South,1771,12128,61078445,2953,-111,265,792,87,14,332,7
CAN CF,South,479,3865,16613393,797,-19,72,214,23,4,90,7
CAN CF,South,3092,21175,81591782,4731,21,452,1364,150,27,0,7
CAN CF,South,919,6295,25183061,1418,6,121,372,37,8,0,7
CAN CF,South,29242,200245,764080566,46173,315,4704,11185,2998,74,5037,7
CAN CF,South,5710,39104,152441367,9020,62,853,2023,538,17,984,7
CAN CF,South,1133,9140,29631704,1790,12,182,433,116,3,195,7
CAN CF,South,1067,8585,28474827,1684,12,159,379,101,3,184,7
CAN CF,South,1185,6892,30969204,1871,13,190,452,121,3,204,7
CAN CF,South,1593,9330,42533512,2517,17,238,565,150,5,274,7
PET CF,South,3761,16923,118092893,3402,15,467,1187,288,389,0,7
PET CF,South,40233,180984,1301562665,37405,388,5622,12553,3518,120,6930,7
PET CF,South,2634,15453,85215128,2449,26,368,822,230,8,454,7
PET CF,South,755,3543,24462811,703,7,106,236,66,2,130,7
PET CF,South,1626,10119,98679473,1739,6,198,495,114,170,0,7
PET CF,South,18714,116434,1121505175,20045,179,3098,6448,1806,513,3224,7
PET CF,South,1512,12766,90586303,1619,15,250,521,146,41,260,7
PET CF,South,80,509,4842567,85,1,13,29,8,2,14,7
RGB CF,South,5272,11187,127163694,566,35,2374,4650,243,170,0,7
RGB CF,South,23465,46835,551008229,2652,223,6982,15151,2382,69,8473,7
RGB CF,South,113,251,2694379,13,1,34,72,11,0,41,7
PMX,South,10,387,4186903,18,0,3,8,1,5,2,7
PMX,South,1116,26543,447901482,1925,11,334,892,80,497,192,7
CAN CF,South,306,2326,9114063,468,3,46,141,15,24,53,7
CAN CF,South,43,239,1245393,64,0,6,25,2,3,7,7
CAN CF,South,659,5318,23033236,1092,6,98,293,32,5,114,7
CAN CF,South,6,40,-515143,25,0,2,7,1,0,1,7
CAN CF,Central,6,44,174245,10,0,1,3,1,0,1,7
CAN CF,Central,115268,789333,3089846592,181963,2102,17649,46972,11321,6484,18549,7
CAN CF,Central,870,7024,23298252,1373,15,133,356,87,50,140,7
CAN CF,Central,3873,22176,103258184,6106,69,596,1591,310,72,623,7
CAN CF,Central,3,15,88707,6,0,1,1,1,247,1,7
PET CF,Central,14835,66755,475607567,13936,188,2016,5728,1315,2708,2387,7
PET CF,Central,1667,9757,53430803,1566,30,226,645,147,304,268,7
PET CF,Central,619,2934,19798446,584,11,87,261,44,71,100,7
PET CF,Central,2,9,51419,2,0,0,1,0,0,0,7
PET CF,Central,21091,131220,1287343402,24919,208,3511,11973,1994,2993,3394,7
