product_type,sales_office,sales_volume,gross_sales,raw_materials,packaging,other_direct_cost,variable_manufacturing,fixed_manufacturing,warehouse,trans_primary,trans_delivery,month
Water,South,90502,248095,5646844,68254,8975,12849,37794,7791,5027,18261,1
Water,South,37126,101690,2316429,27999,3682,5271,15504,3196,2062,7491,1
Water,Central,45789,125479,2856991,34533,4541,6501,19122,3942,2543,9239,1
Water,North,3915,10724,244283,2953,388,556,1635,337,217,790,1
Water,North,24354,66701,1519550,18367,2415,3458,10170,2097,1353,4914,1
Water,South,563155,1675193,49606283,468863,55847,105017,224481,48480,19628,139349,1
Water,South,411382,1224299,36237170,342502,40796,76714,164665,35414,14338,101794,1
Water,South,233958,696500,20608562,194786,23201,43629,97702,20141,8154,57892,1
Water,Central,277411,811673,24436115,230962,27510,51732,115848,23881,9669,68644,1
Water,North,-4,-13,-354,-3,0,-1,-2,0,0,-1,1
Water,North,54679,166891,5619258,52807,5422,13768,22834,4707,0,11613,1
Water,North,88306,269525,9074983,85282,8757,22235,36877,7602,0,18755,1
Water,South,84196,257027,6489425,79524,14817,29409,35161,7248,4283,15475,1
Water,South,65346,199603,5036547,61720,11500,22825,27289,5625,3324,12011,1
Water,South,25739,78569,1983810,24310,4530,8990,10749,2216,1309,4731,1
Water,Central,40071,122271,3088474,37847,7052,13996,16734,3450,2039,7365,1
Water,North,7178,21908,553230,6780,1263,2507,2997,618,365,1319,1
Water,North,20704,63185,1595770,19555,3644,7232,8646,1782,1053,3805,1
Water,South,55641,158979,0,67961,11544,22160,23236,4790,14388,6476,1
Water,South,19253,55034,0,23515,3994,7668,8040,1657,4979,2241,1
Water,South,17330,49501,0,21167,3595,6902,7237,1492,4481,2017,1
Water,Central,17928,51213,0,21898,3720,7140,7487,1543,4636,2087,1
Water,North,12661,36166,0,15464,2627,5042,5287,1090,3274,1474,1
Water,North,8447,24130,0,10318,1753,3364,3528,727,2184,983,1
CAN CF,South,46764,325238,2042669362,79858,2921,6543,19529,4026,1052,10070,1
CAN CF,South,162993,1135636,7119594131,278340,10182,22805,68067,14031,3668,35100,1
CAN CF,South,45492,316525,1987103476,77686,2842,6365,18998,3916,1024,9797,1
CAN CF,Central,16144,111225,705191818,27569,1008,2259,6742,1390,363,3477,1
CAN CF,North,5182,36091,226335333,8849,324,725,2164,446,117,1116,1
CAN CF,North,23700,164865,1035217377,40472,1480,3316,9897,2040,533,5104,1
CAN CF,South,7614,43732,271927140,13434,476,2308,4350,655,886,2899,1
CAN CF,South,4218,25096,150643331,7442,263,1279,2410,363,491,1606,1
CAN CF,South,2282,13484,81506393,4027,143,692,1304,196,266,869,1
CAN CF,Central,43402,258113,1550056445,76578,2711,13158,24796,3736,5052,16527,1
CAN CF,North,5516,32808,196992917,9732,345,1672,3151,475,642,2100,1
CAN CF,North,8629,51324,308174525,15225,539,2616,4930,743,1004,3286,1
PET CF,South,379091,2477205,16531962095,377148,23680,63772,144050,32634,9358,54168,1
PET CF,South,446890,2921266,19488637708,444599,27916,75178,165232,31341,11032,63856,1
PET CF,South,376490,2460811,16418522811,374560,23518,63335,146528,32410,9294,53796,1
PET CF,Central,55403,362758,2416113068,55119,3461,9320,23137,4769,1368,7917,1
PET CF,North,60800,397317,2651472422,60489,3798,10228,25391,5234,1501,8688,1
PET CF,North,142634,932212,6220201509,141903,8910,23995,59565,12279,3521,20381,1
PET CF,South,2883,18734,111474271,3204,180,314,1204,248,0,467,1
PET CF,Central,-63,-407,-2423354,-70,-4,-7,-26,-5,0,-10,1
PET CF,South,9409,57793,335344915,9341,588,1662,3929,810,340,1741,1
PET CF,South,4028,24755,143584221,4000,252,712,1682,347,145,745,1
PET CF,South,10918,67097,389135294,10839,682,1929,4559,940,394,2020,1
PET CF,Central,9118,55986,324976377,9052,570,1611,3808,785,329,1687,1
PET CF,North,36041,201675,1284610478,35783,2251,6367,15051,3103,1302,6670,1
